Course	Coursename	Description	ACM_Matches	ACM_Match_Score
CS 100	Freshman Orientation	majors overview	Evaluating the Design:Teamwork:Digital Forensics:Applications and Societal Impact:Data Analytics:Game:Interactive:Professional Ethics:Social Context:Understanding the User; Individual Goals and Interactions With Others:Product Requirements:Agents and Cognitive Systems:Economies of Computing:Secure Coding:Web:Robotics:Accessibility and Inclusive Design:Interactive Computing Platforms:Computing History:Privacy and Civil Liberties	[0.87682843 0.96993566 0.97529802 0.9804905  1.01565333 1.02546538 1.02779407 1.03715258 1.05550185 1.05834334 1.06204393 1.08165262 1.08648139 1.11241899 1.12900235 1.13472105 1.14105845 1.14843616 1.14978485 1.15143922]
CS 101	Intro Computing: Engrg & Sci	computing solving programming algorithms computers solving majors satisfies criteria quantitative ii	Quantum Architectures:Search:Fundamental Issues:Interactive Computing Platforms:Data Analytics:Probabilistic Representation and Reasoning:Agents and Cognitive Systems:Data Modeling:Logical Representation and Reasoning:Social Context:Perception and Computer Vision:Computing History:Complexity:Logic Programming:Machine Learning:Natural Language Programming:Fundamental Knowledge Representation and Reasoning:Applications and Societal Impact	[0.60659527 0.69420345 0.69991544 0.7490641  0.75591775 0.80818228 0.80833828 0.82252726 0.83763201 0.84136894 0.86336008 0.87083734 0.87514175 0.882078   0.89539566 0.90730256 0.90981331 0.91137717]
CS 102	Little Bits to Big Ideas	computing topics computers algorithms computational computing cryptography internet solving modeling simulation	Social Context:Interactive Computing Platforms:Agents and Cognitive Systems:Data Analytics:Quantum Architectures:Computing History:Fundamental Issues:Data Modeling:Search:Perception and Computer Vision:Probabilistic Representation and Reasoning:Robotics:Natural Language Programming:Fundamental Knowledge Representation and Reasoning:Web:Machine Learning:Cryptography:Applications and Societal Impact	[0.59559743 0.6173426  0.64623534 0.65108431 0.70847433 0.74435707 0.77006419 0.8162522  0.83704669 0.85190419 0.86222242 0.86691942 0.88018099 0.88836826 0.88880558 0.90411135 0.90451223 0.90501548]
CS 105	Intro Computing: Non-Tech	computing interrelationships hardware software packages spreadsheets databases programming majors satisfies criteria quantitative	Data Analytics:Social Context:Agents and Cognitive Systems:Interactive Computing Platforms:Computing History:Fundamental Issues:Digital Forensics:Economies of Computing:Applications and Societal Impact:Data Modeling:Teamwork:Robotics:Evaluating the Design:Professional Ethics:Game:Web:Interactive	[0.62000945 0.68166921 0.69262463 0.79211134 0.79403021 0.80142446 0.81631738 0.85783563 0.86243605 0.88040739 0.88428029 0.8970295 0.91483228 0.92438533 0.9314948  0.93605127 0.93960338]
CS 107	Data Science Discovery	computation relevance datasets analyze privacy satisfies criteria quantitative	Fundamental Issues:Logical Representation and Reasoning:Probabilistic Representation and Reasoning:Robotics:Statistics:Machine Learning:Natural Language Programming:Probability:Interactive Computing Platforms:Data Analytics:Fundamental Knowledge Representation and Reasoning:Computing History:Perception and Computer Vision:Diversity, Equity, Inclusion, and Accessibility:Data Modeling:Quantum Architectures:Search:Applications and Societal Impact:Agents and Cognitive Systems:Calculus:Mobile:Social Context:Complexity:Evaluation:Image Processing:System Design:Discrete Mathematics:Logic Programming:Software Construction:Functional Programming:Professional Ethics	[0.8057828  0.82072415 0.83171089 0.87984101 0.89574083 0.9044403 0.90812397 0.91360276 0.92019936 0.92518044 0.93006295 0.93467707 0.95303411 0.96017857 0.96442217 0.98619351 0.99437003 0.9978465 1.00745205 1.01149937 1.0220905  1.03109151 1.04611389 1.05028221 1.05042168 1.05756975 1.06346627 1.08171713 1.08847988 1.08881976 1.09080108]
CS 124	Introduction to Computer Science I	computing solving computational majors computing satisfies criteria quantitative	Logical Representation and Reasoning:Probabilistic Representation and Reasoning:Fundamental Issues:Search:Quantum Architectures:Interactive Computing Platforms:Calculus:Perception and Computer Vision:Data Modeling:Data Analytics:Machine Learning:Complexity:Agents and Cognitive Systems:Fundamental Knowledge Representation and Reasoning:Computing History:Natural Language Programming:Logic Programming:Robotics:Statistics:Probability:Discrete Mathematics:Applications and Societal Impact:Cryptography:Design Principles of Programming Languages:Social Context	[0.6438307  0.66277226 0.69487359 0.71483757 0.73077074 0.75724939 0.80370001 0.80680575 0.82107711 0.82493986 0.83069841 0.84218659 0.85888523 0.88954548 0.89372998 0.89555321 0.90132072 0.91723741 0.91826232 0.92348353 0.9379147  0.94575653 0.96277855 0.96419112 0.96603197]
CS 125	Introduction to Computer Science	computing solving computational majors computing satisfies criteria quantitative	Logical Representation and Reasoning:Probabilistic Representation and Reasoning:Fundamental Issues:Search:Quantum Architectures:Interactive Computing Platforms:Calculus:Perception and Computer Vision:Data Modeling:Data Analytics:Machine Learning:Complexity:Agents and Cognitive Systems:Fundamental Knowledge Representation and Reasoning:Computing History:Natural Language Programming:Logic Programming:Robotics:Statistics:Probability:Discrete Mathematics:Applications and Societal Impact:Cryptography:Design Principles of Programming Languages:Social Context	[0.6438307  0.66277226 0.69487359 0.71483757 0.73077074 0.75724939 0.80370001 0.80680575 0.82107711 0.82493986 0.83069841 0.84218659 0.85888523 0.88954548 0.89372998 0.89555321 0.90132072 0.91723741 0.91826232 0.92348353 0.9379147  0.94575653 0.96277855 0.96419112 0.96603197]
CS 126	Software Design Studio	software documentation debugging software majors	Role and Purpose of Operating Systems:Economies of Computing:Foundational Security:Embedded Platforms:Interactive:Common Aspects/Shared Concerns:Secure Processor Architectures:Teamwork:Real-time and Embedded Systems:Mobile Platforms:Social Context:Formal Development Methodologies:Tangible/Physical Computing:Secure Coding:Computing History:Digital Forensics:Game Platforms:Game:Heterogeneous Architectures:Sustainability:Intellectual Property:Accessibility and Inclusive Design:Professional Ethics:Web:Interfacing and Communication:Fault Tolerance:Emerging Topics:Web Platforms:System Security:Sustainability Issues:Privacy and Civil Liberties:Overview of Computer Systems:Security Governance:Agents and Cognitive Systems:Communication:Network Fundamentals:Protection and Safety	[0.84055711 0.85256605 0.88841765 0.90014532 0.90800434 0.91203064 0.91346761 0.91903004 0.93838201 0.95721667 0.9679589  0.97043599 0.97540241 0.9775857  0.98502357 0.98964503 0.99024016 0.99564877 0.99797934 0.99999296 1.00309193 1.0092901  1.01190515 1.01320928 1.01766164 1.02024885 1.02658372 1.03738546 1.04211394 1.04533435 1.04632912 1.05885319 1.0610374  1.06497735 1.06856843 1.06956629 1.07256042]
CS 128	Introduction to Computer Science II	computing solving computational satisfies criteria quantitative ii	Probabilistic Representation and Reasoning:Logical Representation and Reasoning:Calculus:Search:Quantum Architectures:Complexity:Fundamental Issues:Perception and Computer Vision:Logic Programming:Machine Learning:Interactive Computing Platforms:Discrete Mathematics:Fundamental Knowledge Representation and Reasoning:Probability:Data Modeling:Statistics:Natural Language Programming:Data Analytics:Image Processing:Robotics:Computational Models and Formal Languages:Agents and Cognitive Systems:Functional Programming:Foundational Data Structures and Algorithms:Software Construction:Formal Semantics:Program Analysis and Analyzers	[0.59412327 0.63697062 0.65207121 0.66912973 0.68312361 0.71904279 0.74771488 0.77811905 0.80431115 0.8255295  0.85304716 0.88288493 0.89069027 0.90167758 0.90613252 0.91303003 0.93196352 0.95817827 0.96170053 0.97233011 0.98359474 0.98967649 0.99252816 0.99696458 1.00865313 1.01016662 1.01197809]
CS 173	Discrete Structures	discrete propositions boolean algebra induction recursion graphs math	Discrete Mathematics:Logic Programming:Computational Models and Formal Languages:Complexity:Formal Semantics:Logical Representation and Reasoning:Calculus:Probabilistic Representation and Reasoning:Functional Programming:Quantum Architectures:Perception and Computer Vision:Linear Algebra:Search:Software Construction:Fundamental Issues:Probability	[0.59534791 0.67294833 0.75657947 0.78940776 0.79514057 0.79956817 0.81050903 0.82822655 0.87961975 0.90112044 0.9432943  0.95139545 0.97395961 1.01043427 1.01155121 1.01403066]
