Course	Coursename	Description	ACM_Matches	ACM_Match_Score
CS 542	Statistical Reinforcement Learning	reinforcement analyses topics mdp basics analyses online offline batch rl tabular analyses online offline rl approximation abstraction rl settings online offline topics stochastic	Agents:Advanced Machine Learning:Modeling and Simulation:Reasoning Under Uncertainty:Information Storage and Retrieval:Introduction to Modeling and Simulation:Data Mining	[0.64006337 0.70187114 0.73793064 0.81937431 0.82838265 0.83076453 0.83228667]
CS 543	Computer Vision	algorithms architectures robotics inference spatial navigation manipulation robotics	Agents:Modeling and Simulation:Introduction to Modeling and Simulation:Data Mining:Interactive Visualization:Advanced Machine Learning:Perception and Computer Vision:Parallel Algorithms, Analysis, and Programming:Design-Oriented HCI:Data, Information, and Knowledge:Advanced Search:Fundamental Issues:Visualization	[0.6765292  0.67892035 0.70473408 0.85579888 0.87607065 0.87857106 0.88037996 0.89217532 0.90779093 0.91350079 0.92833175 0.92875102 0.93031474]
CS 544	Optimiz in Computer Vision	discrete optimization algorithms approximations newton variants augmented lagrangian variants smo algorithms flows primal dual dynamics programming markov parsing quadratic max markov	Modeling and Simulation:Introduction to Modeling and Simulation:Advanced Search:Reasoning Under Uncertainty:Advanced Machine Learning:Numerical Analysis:Statistical Methods for HCI:Basic Search Strategies:Parallel Algorithms, Analysis, and Programming:Algorithmic Strategies	[0.35740552 0.6150268  0.66332265 0.68311167 0.70439678 0.73013557 0.7544722  0.80158468 0.80684159 0.80686454]
CS 545	Machine Learning for Signal Processing	fundamentals pertain decompose analyze classify detect consolidate feeds organizing collections designing dialog	Data, Information, and Knowledge:Data Mining:Interactive Visualization:Agents:Fundamental Issues:Introduction to Modeling and Simulation:Modeling and Simulation:Design-Oriented HCI:Information Storage and Retrieval:Visualization:Statistical Methods for HCI:Advanced Representation and Reasoning:Data Modeling:Natural Language Processing:User-Centered Design and Testing	[0.91322766 0.9418948  0.94863778 1.04396159 1.06162676 1.06534396 1.06602245 1.08462268 1.08792428 1.09633099 1.09952196 1.10462325 1.11482238 1.11655044 1.11701798]
CS 546	Advanced Topics in Natural Language Processing	topics nlp topics extraction grounding challenges challenges topics offerings offerings overlap cs	User-Centered Design and Testing:Agents:Mobile Platforms:Professional Ethics:Design-Oriented HCI:Information Storage and Retrieval:Digital Forensics:Economies of Computing:Professional Communication:Development Methods:Software Process:Introduction:Modeling and Simulation:Social Networking:Advanced Machine Learning:Intellectual Property:Software Construction:History	[0.64853542 0.83816083 0.85559428 0.86373902 0.88083822 0.96267005 0.97187712 0.97722535 0.99399491 0.99632988 1.00518469 1.00645849 1.04031705 1.04777059 1.052205   1.05736882 1.05891801 1.06268915]
CS 547	Deep Learning	neural topics implementation neural convolution neural recurrent neural lstm gated recurrent residual reinforcement neural reinforcement chainer tensorflow neural gpus gpu clusters	Advanced Machine Learning:Basic Machine Learning:Reasoning Under Uncertainty:Natural Language Processing:Modeling and Simulation:Advanced Search:Statistical Methods for HCI:Perception and Computer Vision:Introduction to Modeling and Simulation	[0.67719828 0.74569791 0.8589602  0.90578021 0.92132826 0.93330353 0.98878551 0.98984249 0.99198506]
CS 548	Models of Cognitive Processes	automated cognition integrating analyses computational tradeoffs expressiveness tractability automated semantic web relational prediction latent integrating	Agents:Fundamental Issues:Modeling and Simulation:Introduction to Modeling and Simulation:Advanced Machine Learning:Natural Language Processing:Sustainability:Advanced Representation and Reasoning:Interactive Visualization:Data, Information, and Knowledge:Reasoning Under Uncertainty	[0.4242633  0.6631906  0.68355367 0.72764275 0.77460745 0.7851834 0.79893424 0.81314042 0.84323274 0.84342325 0.84761279]
CS 549	Seminar in Cognitive Science	cognitive cognitive anthropology cognitive neuroscience cognitive linguistics highlighted descriptions explores interconnections	Agents:Design-Oriented HCI:Professional Ethics:Digital Forensics:Fundamental Issues:User-Centered Design and Testing:Information Storage and Retrieval:Modeling and Simulation:Advanced Machine Learning:Data, Information, and Knowledge:Sustainability:Introduction to Modeling and Simulation:Natural Language Processing	[0.64710868 0.73801865 0.82030479 0.83429239 0.83940653 0.84351238 0.8604287  0.86196673 0.8874923  0.89044872 0.90581388 0.90808556 0.90903385]
CS 554	Parallel Numerical Algorithms	algorithms computers algorithms algebra dense sparse solvers algebraic eigenvalue partial equations optimization	Numerical Analysis:Basics of Counting:Advanced Computational Complexity:Basic Analysis:Modeling and Simulation:Discrete Probability:Parallel Algorithms, Analysis, and Programming:Advanced Search:Advanced Representation and Reasoning:Reasoning Under Uncertainty:Statistical Methods for HCI:Algorithmic Strategies:Fundamental Data Structures and Algorithms:Advanced Data Structures, Algorithms, and Analysis:Basic Knowledge Representation and Reasoning:Basic Search Strategies:Introduction to Modeling and Simulation:Logic Programming	[0.67616872 0.74350974 0.74624359 0.76855628 0.80142398 0.86232518 0.86911849 0.87533696 0.88887359 0.89299617 0.90840112 0.91294658 0.91794875 0.92148687 0.92520264 0.93289024 0.93564905 0.93604697]
CS 555	Numerical Methods for PDEs	partial equations discretization iterative discrete programming software packages	Modeling and Simulation:Introduction to Modeling and Simulation:Numerical Analysis:Statistical Methods for HCI:Reasoning Under Uncertainty	[0.55096025 0.74738566 0.75574975 0.75578661 0.75738755]
CS 556	Iterative & Multigrid Methods	algebraic multigrid iterative equations equations arising discretization partial equations	Numerical Analysis:Advanced Computational Complexity:Basics of Counting:Basic Analysis:Discrete Probability:Basic Knowledge Representation and Reasoning:Modeling and Simulation:Statistical Methods for HCI:Reasoning Under Uncertainty:Advanced Representation and Reasoning:Sets, Relations, and Functions:Basic Type Systems:Advanced Search:Introduction to Modeling and Simulation:Logic Programming:Advanced Data Structures, Algorithms, and Analysis	[0.53797068 0.76519941 0.78171128 0.80176747 0.83512742 0.87920421 0.88016299 0.90735656 0.91554327 0.93095679 0.93455168 0.96013743 0.96625839 0.99055095 0.99426625 0.99916529]
CS 558	Topics in Numerical Analysis	topics	User-Centered Design and Testing:Information Storage and Retrieval:Social Networking:Mobile Platforms:Design-Oriented HCI:Agents:Professional Ethics:Introduction:Professional Communication:Intellectual Property	[1.10620012 1.11251498 1.15780365 1.17060151 1.1767196  1.17877372 1.18230498 1.19419746 1.19527456 1.19547386]
CS 562	Advanced Topics in Security, Privacy, and Machine Learning	topics privacy adversarial privacy enabled defenses robust cybercrime intrusion detection malware topics offerings offerings overlap cs prerequisites corequisites	Security Policies, Laws, and Computer Crimes:Threats and Attacks:Human Factors and Security:Network Security:Privacy and Civil Liberties:Security Policy and Governance:Intellectual Property:Professional Ethics:Design-Oriented HCI:Foundational Concepts in Security:Digital Forensics:Economies of Computing:User-Centered Design and Testing:Agents:Real Time and Embedded Systems:Software Verification and Validation:Mobile Platforms:New Interactive Technologies:Secure Software Engineering:Software Evolution:Collaboration and Communication:Software Process	[0.60781011 0.70818431 0.7472674  0.88963905 0.92385968 0.97533164 0.97618089 0.98561088 0.99451343 1.00972455 1.01714587 1.02341722 1.03216386 1.03622809 1.04200524 1.08284824 1.08685183 1.09749818 1.10047028 1.10597886 1.10773856 1.10788895]
CS 563	Advanced Computer Security	privacy tamper unwanted monitoring surveillance infrastructure subtopics instructor topics exploratory	Professional Ethics:Intellectual Property:Digital Forensics:User-Centered Design and Testing:Design-Oriented HCI:Privacy and Civil Liberties:Agents:Security Policies, Laws, and Computer Crimes:Economies of Computing:Professional Communication:Security Policy and Governance:Human Factors and Security:Foundational Concepts in Security:Software Verification and Validation:Sustainability:Data, Information, and Knowledge:Threats and Attacks:Software Process:History:Mobile Platforms:Foundations:Requirements Engineering:Fundamental Issues:Collaboration and Communication:Principles of Secure Design:Information Storage and Retrieval:Social Context	[0.69076617 0.6969025  0.70479881 0.77546013 0.79692355 0.79807929 0.85511227 0.90306416 0.91047933 0.94642601 0.95745986 0.96247461 0.97341969 0.98696698 0.99351378 0.99710032 1.0057731  1.02082328 1.02736107 1.03726177 1.04535982 1.06608529 1.06667601 1.07116429 1.07906727 1.08112462 1.08295615]
CS 565	Human-Computer Interaction	topics hci interruptions peripheral gestures bimanual usability choosing	Mobility:Social Context:Interfacing and Communication:Platform Security:New Interactive Technologies:Industrial Platforms:History:Software Project Management:Fundamental Concepts:Cross-Layer Communications:Robotics:Secure Software Engineering:Operating System Principles	[0.8407876  0.88251128 0.88520186 0.91592897 0.92734533 0.97703917 0.98639836 0.99630524 1.00290616 1.03032336 1.03772681 1.04008899 1.0407054 ]
CS 567	Social Signals and Social Media	online interactions arenas mediated algorithmic interventions users spaces explores collectives dynamics online spaces algorithmic signaling topics evolution algorithmic matchmaking online dating misinformation mitigation trolling bias interfaces incentive signaling prioritize phd	User-Centered Design and Testing:Agents:Professional Ethics:Design-Oriented HCI:Economies of Computing:Digital Forensics:Professional Communication:Mobile Platforms:Sustainability:Software Process:Privacy and Civil Liberties:Principles of Secure Design:Requirements Engineering:Intellectual Property:Fundamental Issues:Information Storage and Retrieval:Modeling and Simulation:Collaboration and Communication	[0.62592689 0.62844606 0.65440447 0.67648387 0.72671284 0.82761385 0.8553167  0.85721858 0.91260921 0.94739975 0.98601024 0.98932035 0.9935288  0.99940236 1.00010262 1.01135546 1.01258625 1.01264857]
CS 571	Combinatorial Mathematics	topics combinatorial enumeration extremal probabilistic discrete optimization	Modeling and Simulation:Reasoning Under Uncertainty:Introduction to Modeling and Simulation:Advanced Machine Learning:Advanced Search:Advanced Data Structures, Algorithms, and Analysis:Algorithmic Strategies:Statistical Methods for HCI	[0.48952557 0.60527105 0.65278296 0.65924807 0.66988254 0.72018232 0.72084121 0.72169503]
CS 572	Extremal Graph Theory	extremal parameters graphs connectivity colorings imperfect graphs parameters turan theorem ramsey extremal	Numerical Analysis:Geometric Modeling:Visualization:Advanced Search:Statistical Methods for HCI:Reasoning Under Uncertainty:Advanced Data Structures, Algorithms, and Analysis:Modeling and Simulation:Graphs and Trees:Discrete Probability:Basic Analysis:Advanced Computational Complexity:Advanced Machine Learning:Perception and Computer Vision:Parallel Algorithms, Analysis, and Programming	[0.79102975 0.80533498 0.88687531 0.93172957 0.9448857  0.95184994 0.95221136 0.96324972 0.97680315 0.98792839 0.99245353 0.9943453 0.99986758 1.00327728 1.00383014]
CS 573	Algorithms	np completeness approximation algorithms randomized algorithms combinatorial optimization programming	Algorithms and Design:Algorithmic Strategies:Modeling and Simulation:Advanced Search:Parallel Algorithms, Analysis, and Programming:Advanced Data Structures, Algorithms, and Analysis:Basic Search Strategies:Introduction to Modeling and Simulation:Static Analysis:Advanced Machine Learning:Reasoning Under Uncertainty	[0.57085333 0.5712411  0.63474147 0.64670178 0.67432319 0.69152542 0.72546655 0.75622395 0.76621137 0.76938431 0.77030939]
CS 574	Randomized Algorithms	randomized algorithms inequalities chernoff hoeffding bounds probabilistic entropy martingales azuma inequality derandomization randomized algorithms sorting graphs basics pseudorandomness randomized	Advanced Data Structures, Algorithms, and Analysis:Parallel Algorithms, Analysis, and Programming:Algorithmic Strategies:Fundamental Data Structures and Algorithms:Advanced Search:Algorithms and Design:Numerical Analysis:Reasoning Under Uncertainty:Advanced Machine Learning:Modeling and Simulation:Basic Search Strategies:Basic Analysis:Introduction to Modeling and Simulation:Perception and Computer Vision:Statistical Methods for HCI:Basic Machine Learning:Natural Language Processing:Basics of Counting:Advanced Representation and Reasoning:Visualization:Discrete Probability:Geometric Modeling:Logic Programming:Static Analysis:Advanced Computational Complexity:Sets, Relations, and Functions:Basic Knowledge Representation and Reasoning:Fundamental Issues:Agents:Data Mining:Formal Models and Semantics:Data, Information, and Knowledge	[0.47929276 0.57636127 0.59265829 0.70665591 0.7333429  0.76814563 0.78758038 0.79454278 0.83706179 0.84319341 0.86254501 0.86353655 0.9046073  0.90468265 0.91122566 0.9260974  0.93227013 0.93328541 0.9389682  0.95429217 0.9597803  0.96817467 0.97225513 0.97702873 0.99016262 0.9948664  1.00224633 1.00714696 1.01721687 1.03660767 1.03926286 1.04477589]
CS 575	Methods of Combinatorics	combinatorial combinatorial enumeration bijections generating probabilistic proofs asymptotic randomized algorithms ramsey theorem topics combinatorial	Advanced Search:Modeling and Simulation:Algorithmic Strategies:Introduction to Modeling and Simulation:Advanced Representation and Reasoning:Logic Programming:Fundamental Issues:Algorithms and Design:Reasoning Under Uncertainty:Advanced Machine Learning:Basic Search Strategies	[0.68535483 0.69934715 0.72293931 0.73065851 0.73131658 0.73634932 0.73816158 0.74897629 0.75996447 0.76034815 0.76145154]
CS 576	Topics in Automated Deduction	topics aided deduction theorem proving strategies equational unification rewrite induction derivation hybrid inference programming	Logic Programming:Basic Knowledge Representation and Reasoning:Formal Semantics:Basic Logic:Sets, Relations, and Functions:Proof Techniques:Basics of Counting:Advanced Representation and Reasoning:Advanced Automata Theory and Computability:Type Systems:Formal Methods:Formal Models and Semantics:Static Analysis:Language Pragmatics:Basic Type Systems:Fundamental Issues:Advanced Programming Constructs	[0.45648773 0.52007418 0.522902   0.5430492  0.61856437 0.65035773 0.6907045  0.7005974  0.74092928 0.83206333 0.89731021 0.90994961 0.93665733 0.93740708 0.96227441 0.96694625 0.96711822]
CS 579	Computational Complexity	turing determinism determinism hierarchy theorems compression blum axioms np nl pspace randomness rp rl bpp alternation hierarchy nc rnc relativized computational offs	Basic Knowledge Representation and Reasoning:Advanced Automata Theory and Computability:Advanced Representation and Reasoning:Sets, Relations, and Functions:Formal Models and Semantics:Logic Programming:Proof Techniques:Basics of Counting:Formal Semantics:Fundamental Issues:Static Analysis:Basic Logic:Discrete Probability:Modeling and Simulation:Introduction to Modeling and Simulation:Basic Search Strategies:Formal Methods:Basic Type Systems:Type Systems:Language Pragmatics	[0.67621212 0.67844855 0.68535079 0.69740187 0.71089452 0.76789266 0.78272221 0.81931445 0.83167012 0.84847124 0.84963513 0.85401567 0.8734159  0.91394888 0.91739718 0.93123634 0.94600883 0.95117758 0.95267064 0.95649839]
CS 580	Topics in Algorithmic Game Theory	cs algorithmic computational fairness topics computation equilibria dynamics anarchy topics online marketplaces lyft uber ebay taskrabbit kidney auction	Professional Ethics:Economies of Computing:Agents:Design-Oriented HCI:Digital Forensics:User-Centered Design and Testing:Intellectual Property:Privacy and Civil Liberties:Professional Communication:Mobile Platforms:History:Software Process:Sustainability:Data, Information, and Knowledge:Robotics:Collaboration and Communication:Security Policy and Governance:Introduction to Modeling and Simulation:Modeling and Simulation:Information Storage and Retrieval	[0.6410921  0.70328305 0.77205137 0.79517409 0.79580847 0.83239712 0.88144139 0.92436026 0.93262443 0.98392796 0.99323459 0.99757211 1.00292227 1.01309665 1.03157278 1.03436505 1.04237558 1.04826907 1.04956747 1.05095346]
CS 581	Algorithmic Genomic Biology	algorithmic genomic biology publish phylogeny evolutionary estimation alignment genome phylogenetics challenges computational permitting computational microbiome prediction genome linguistics computational doctoral bioengineering biology discrete algorithms simulations probabilistic algorithms	Agents:Advanced Machine Learning:Modeling and Simulation:Fundamental Issues:Reasoning Under Uncertainty:Introduction to Modeling and Simulation:Statistical Methods for HCI:Natural Language Processing:Data, Information, and Knowledge:Data Mining:Design-Oriented HCI:Information Storage and Retrieval:Digital Forensics:Advanced Representation and Reasoning:Basic Machine Learning:User-Centered Design and Testing:Perception and Computer Vision:Professional Ethics:Static Analysis:Interactive Visualization:Advanced Search:Advanced Data Structures, Algorithms, and Analysis:Algorithmic Strategies:Basic Knowledge Representation and Reasoning	[0.48916889 0.60724135 0.64472805 0.72487698 0.73391823 0.73579081 0.78665708 0.79518805 0.80010165 0.80161242 0.82084272 0.8526098 0.87653218 0.8972194  0.92008979 0.93080448 0.93356092 0.94186202 0.94366542 0.95151635 0.95181594 0.98957495 0.99116643 0.9951817 ]
CS 582	Machine Learning for Bioinformatics	bioinformatics introduces topics computational biology bioinformatics regulatory genomics biology computational bayesian inference graphical supervised bioinformatics topics instructor presentations regulatory cistromics epigenomics regulatory reconstruction coding variant prediction mandatory bioinformatics	Agents:Design-Oriented HCI:Professional Ethics:Digital Forensics:Modeling and Simulation:Introduction to Modeling and Simulation:User-Centered Design and Testing:Data, Information, and Knowledge:Fundamental Issues:Advanced Machine Learning	[0.51523187 0.68324599 0.72518496 0.73125163 0.77057808 0.81053701 0.8250062  0.84846852 0.85207287 0.85253357]
CS 583	Approximation Algorithms	approximation algorithms np approximation algorithm combinatorial algorithms programming programming algorithms graphs constraint scheduling	Modeling and Simulation:Algorithmic Strategies:Advanced Data Structures, Algorithms, and Analysis:Algorithms and Design:Parallel Algorithms, Analysis, and Programming:Basic Analysis:Numerical Analysis:Advanced Search:Statistical Methods for HCI:Basic Search Strategies:Static Analysis:Introduction to Modeling and Simulation:Advanced Machine Learning:Advanced Representation and Reasoning:Reasoning Under Uncertainty:Perception and Computer Vision:Fundamental Data Structures and Algorithms:Logic Programming:Basics of Counting:Fundamental Issues:Discrete Probability:Formal Models and Semantics:Agents:Advanced Computational Complexity:Basic Knowledge Representation and Reasoning:Natural Language Processing:Processing:Basic Machine Learning:Visualization:Parallel Performance:Sets, Relations, and Functions:Basic Type Systems	[0.59531429 0.63826318 0.66946888 0.71707149 0.71727584 0.72716349 0.75328179 0.75597586 0.77760343 0.79037706 0.80509717 0.81030308 0.81352886 0.81610828 0.82703573 0.82836388 0.8375918  0.87504183 0.88403187 0.9187213  0.92143308 0.92507278 0.93181216 0.93699084 0.95017148 0.95125909 0.95678168 0.97980083 0.98101808 0.9895138 0.991564   0.99241066]
CS 584	Embedded System Verification	examines discrete hybrid computing introduces timed hybrid automata checking hoare deduction abstractions controller strategies robotics	Introduction to Modeling and Simulation:Modeling and Simulation:Fundamental Issues:Advanced Representation and Reasoning:Agents:Advanced Search:Advanced Machine Learning	[0.59852719 0.59948387 0.61768052 0.67153651 0.76728489 0.7682351 0.76966851]
CS 585	Hardware Verification	teaches algorithms verification hardware teaches checking binary diagrams bdds satisfiability algorithms simulation metrics simulation assertion analog verification silicon validation algorithms teaches scalable algorithms discrete	Modeling and Simulation:Introduction to Modeling and Simulation:Advanced Machine Learning:Reasoning Under Uncertainty:Fundamental Issues:Agents:Advanced Search:Static Analysis:Advanced Representation and Reasoning:Statistical Methods for HCI:Natural Language Processing:Perception and Computer Vision:Parallel Algorithms, Analysis, and Programming:Algorithmic Strategies:Formal Models and Semantics:Advanced Data Structures, Algorithms, and Analysis:Algorithms and Design:Basic Search Strategies:Discrete Probability:Digital Logic and Digital Systems:Basic Knowledge Representation and Reasoning	[0.48612038 0.57777045 0.59850202 0.70532069 0.7327305  0.73462983 0.75770089 0.77770582 0.78938866 0.82629743 0.82981077 0.83302875 0.84218023 0.84422525 0.86191558 0.87603798 0.88036731 0.8858843 0.9070355  0.90930494 0.90935762]
CS 586	Combinatorial Optimization	topics combinatorial optimization polyhedral designing algorithms topics matchings matchings joins arborescences branchings matroids matroid polymatroids submodular flows	Algorithms and Design:Algorithmic Strategies:Advanced Search:Basic Search Strategies:Parallel Algorithms, Analysis, and Programming:Advanced Data Structures, Algorithms, and Analysis:Logic Programming:Modeling and Simulation:Basics of Counting:Basic Knowledge Representation and Reasoning:Advanced Representation and Reasoning:Static Analysis:Advanced Machine Learning:Sets, Relations, and Functions:Introduction to Modeling and Simulation:Graphs and Trees:Fundamental Data Structures and Algorithms:Reasoning Under Uncertainty:Fundamental Issues:Formal Models and Semantics:Perception and Computer Vision:Agents:Basic Analysis:Numerical Analysis:Advanced Automata Theory and Computability:Discrete Probability	[0.7398366  0.76751791 0.77421213 0.80986328 0.81420466 0.8180369 0.84672727 0.84681713 0.85422721 0.8744363  0.874438   0.88676646 0.88823743 0.8972335  0.90833423 0.91217174 0.91474332 0.92518658 0.92909826 0.93517727 0.94197883 0.94294647 0.94936307 0.96659998 0.96672289 0.96764984]
CS 588	Autonomous Vehicle System Engineering	introduce computational autonomous labwork sensing topics lidar sonar sensing detection segmentation bayesian filtering slam tracking topics dynamics lattice kinodynamic trajectory optimization reinforcement implemented	Modeling and Simulation:Introduction to Modeling and Simulation:Statistical Methods for HCI:Advanced Machine Learning:Agents:Reasoning Under Uncertainty:Fundamental Issues:Data, Information, and Knowledge:Advanced Search:Perception and Computer Vision:Visualization:Data Mining:Information Storage and Retrieval:Natural Language Processing:Advanced Data Structures, Algorithms, and Analysis:Numerical Analysis:Advanced Representation and Reasoning:Robotics	[0.52463743 0.65035396 0.6528319  0.66172059 0.69300217 0.71842357 0.78592538 0.80255737 0.81516414 0.8408611  0.85428477 0.85862607 0.86962364 0.88022504 0.90183764 0.91464437 0.9153107  0.91873932]
CS 591	Advanced Seminar	seminar topics grading topics	User-Centered Design and Testing:Professional Ethics:Digital Forensics:Information Storage and Retrieval:Agents:Design-Oriented HCI:Intellectual Property:Professional Communication:Mobile Platforms:Economies of Computing:Data, Information, and Knowledge:History:Social Networking:Software Process:Collaboration and Communication:Privacy and Civil Liberties:Data Mining:Advanced Machine Learning:Development Methods:Modeling and Simulation:Foundations:Software Construction:Requirements Engineering:Data Modeling:Introduction to Modeling and Simulation	[0.96766223 1.06601313 1.07264579 1.07597184 1.08861411 1.10012935 1.11762131 1.12895233 1.13941668 1.14802624 1.15374229 1.15454195 1.15847776 1.17038343 1.17289039 1.17438059 1.17653338 1.18000419 1.18462119 1.18872763 1.19113731 1.19163052 1.19424824 1.19647428 1.19668047]
CS 597	Individual Study	offerings	Collaboration and Communication:Software Evolution:Economies of Computing:Professional Communication:Mobile Platforms:Software Process:Secure Software Engineering	[0.83490506 0.86694902 0.93251668 0.94688075 0.95567056 0.956971 0.9582087 ]
CS 598	Special Topics	offerings augment departmental topics prerequisites topics	User-Centered Design and Testing:Professional Ethics:Design-Oriented HCI:Digital Forensics:Professional Communication:Agents:Economies of Computing:Intellectual Property:Information Storage and Retrieval	[0.86995724 0.95027178 0.99799909 0.9999242  1.02678798 1.0310268 1.03989981 1.04106549 1.04244167]
CS 599	Thesis Research	grading	Professional Ethics:Digital Forensics:User-Centered Design and Testing:Agents:Design-Oriented HCI:Intellectual Property:Professional Communication:Economies of Computing:History:Advanced Machine Learning:Introduction to Modeling and Simulation:Modeling and Simulation:Software Construction:Software Process:Privacy and Civil Liberties:Information Storage and Retrieval:Data, Information, and Knowledge:Requirements Engineering:Data Mining:Advanced Search	[1.0583492  1.07059601 1.08979129 1.10151394 1.11442468 1.14834988 1.15173787 1.15544061 1.16234449 1.16279659 1.17052251 1.17331769 1.17829921 1.18344647 1.18978746 1.1898303  1.19199706 1.19663224 1.19865302 1.19911357]
